run_id,role,backbone,seed,fold,split,row_type,n,mae,rmse,r2,bias
cv_fold_0,control_cv,seco_eco,20260901,0,spatial_validation,model,1532,48.71174058135278,89.75613659540424,0.4901724205045489,-2.803898066807509
cv_fold_0,control_cv,seco_eco,20260901,0,spatial_validation,null_train_mean,1532,89.47853957394784,125.77636007318898,-0.0011359759011158044,-4.236791062895841
cv_fold_0,control_cv,seco_eco,20260901,0,geographic_holdout,model,325,22.45186809007938,40.84447135036696,0.10794957027245222,1.2515562294079707
cv_fold_0,control_cv,seco_eco,20260901,0,geographic_holdout,null_train_mean,325,63.558220129930056,69.24024955578753,-1.5635399924134035,54.074569805035225
cv_fold_1,control_cv,seco_eco,20260902,1,spatial_validation,model,1532,48.16400865017006,89.80933851116399,0.4836572331023916,-8.14924133153676
cv_fold_1,control_cv,seco_eco,20260902,1,spatial_validation,null_train_mean,1532,87.87446342884289,125.04842757875898,-0.001040325009223242,-4.031224346532445
cv_fold_1,control_cv,seco_eco,20260902,1,geographic_holdout,model,325,20.98783317437539,42.029235158784665,0.05544810913712683,-4.424913321091578
cv_fold_1,control_cv,seco_eco,20260902,1,geographic_holdout,null_train_mean,325,63.59276938530115,69.27237567364924,-1.5659194088478845,54.11569987095319
cv_fold_2,control_cv,seco_eco,20260903,2,spatial_validation,model,1531,50.012179528417185,96.41452107495506,0.391584664143133,-24.84400047968214
cv_fold_2,control_cv,seco_eco,20260903,2,spatial_validation,null_train_mean,1531,85.32623327858771,123.66417630471534,-0.0009285431978227621,-3.7665473248622217
cv_fold_2,control_cv,seco_eco,20260903,2,geographic_holdout,model,325,21.33733969780115,40.53032811400774,0.12161868828368039,-1.9685723787087661
cv_fold_2,control_cv,seco_eco,20260903,2,geographic_holdout,null_train_mean,325,63.637668677293334,69.31414013982655,-1.5690143383375483,54.16915140903913
cv_fold_3,control_cv,seco_eco,20260904,3,spatial_validation,model,1531,46.614406815473934,89.67306061764174,0.47198622973780746,-9.060838412466701
cv_fold_3,control_cv,seco_eco,20260904,3,spatial_validation,null_train_mean,1531,88.91880831138458,123.43770011154841,-0.000499568881269008,2.7582717876440945
cv_fold_3,control_cv,seco_eco,20260904,3,geographic_holdout,model,325,18.73279725900063,42.394007629435016,0.03898139551450275,-7.912186469848339
cv_fold_3,control_cv,seco_eco,20260904,3,geographic_holdout,null_train_mean,325,64.74102117410072,70.33841229432456,-1.6455012440902412,55.47377024448835
cv_fold_4,control_cv,seco_eco,20260905,4,spatial_validation,model,1531,47.87575968911179,91.24668797102822,0.38589562307139813,-11.497715157593566
cv_fold_4,control_cv,seco_eco,20260905,4,spatial_validation,null_train_mean,1531,82.69761536442167,116.80758644940875,-0.006352371319291228,9.280341362735168
cv_fold_4,control_cv,seco_eco,20260905,4,geographic_holdout,model,325,20.87640880896495,41.74372419848968,0.06823748910707506,-5.309246077720935
cv_fold_4,control_cv,seco_eco,20260905,4,geographic_holdout,null_train_mean,325,65.8524961590767,71.37140193048252,-1.7237754627354422,56.77784739292585
compare_seco_seed,backbone_comparison,seco_eco,20265901,0,spatial_validation,model,1532,49.96115095687753,91.99340800365911,0.4644396215216191,2.1103829765016355
compare_seco_seed,backbone_comparison,seco_eco,20265901,0,spatial_validation,null_train_mean,1532,89.47853957394784,125.77636007318898,-0.0011359759011158044,-4.236791062895841
compare_seco_seed,backbone_comparison,seco_eco,20265901,0,geographic_holdout,model,325,22.39967416414848,43.480032267742985,-0.010886888085682056,-1.9807519324009235
compare_seco_seed,backbone_comparison,seco_eco,20265901,0,geographic_holdout,null_train_mean,325,63.558220129930056,69.24024955578753,-1.5635399924134035,54.074569805035225
compare_ssl4eo_moco,backbone_comparison,ssl4eo_moco,20260901,0,spatial_validation,model,1532,48.83782209275052,92.21412449739688,0.46186663686075347,-9.75532731933242
compare_ssl4eo_moco,backbone_comparison,ssl4eo_moco,20260901,0,spatial_validation,null_train_mean,1532,89.47853957394784,125.77636007318898,-0.0011359759011158044,-4.236791062895841
compare_ssl4eo_moco,backbone_comparison,ssl4eo_moco,20260901,0,geographic_holdout,model,325,23.028847684310033,46.61917348933933,-0.16212270778069238,-1.689125814988063
compare_ssl4eo_moco,backbone_comparison,ssl4eo_moco,20260901,0,geographic_holdout,null_train_mean,325,63.558220129930056,69.24024955578753,-1.5635399924134035,54.074569805035225
compare_imagenet,backbone_comparison,imagenet,20260901,0,spatial_validation,model,1532,53.378734724348114,96.38208597671625,0.4121213794863078,-1.7856000172990731
compare_imagenet,backbone_comparison,imagenet,20260901,0,spatial_validation,null_train_mean,1532,89.47853957394784,125.77636007318898,-0.0011359759011158044,-4.236791062895841
compare_imagenet,backbone_comparison,imagenet,20260901,0,geographic_holdout,model,325,22.19490782242555,42.54058172801903,0.03232460835256068,0.24913850949360775
compare_imagenet,backbone_comparison,imagenet,20260901,0,geographic_holdout,null_train_mean,325,63.558220129930056,69.24024955578753,-1.5635399924134035,54.074569805035225
control_pooled_oof,aggregate,seco_eco,,-1,spatial_validation,model,7657,48.27566143388017,91.41604942912996,0.44715014366386474,-11.269625154553879
control_pooled_oof,aggregate,seco_eco,,-1,spatial_validation,null_train_mean,7657,86.85960668635921,122.98885734474663,-0.0006768111311132863,-0.0002699266524154212
control_5model_ensemble,ensemble_secondary,seco_eco,,-1,geographic_holdout,model,325,19.21418737796637,40.44855579174359,0.12515948477605798,-3.672672367646144
control_5model_ensemble,ensemble_secondary,seco_eco,,-1,geographic_holdout,null_train_mean,325,64.27211269397002,69.9042306276883,-1.6129419922439765,54.92220316685163
